filename,width,height,class,xmin,ymin,xmax,ymax
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,100,448,199,472,233
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,100,412,456,446,490
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,100,352,436,390,472
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,100,311,512,349,550
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,100,289,590,331,638
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,50,194,278,230,312
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,50,156,190,196,228
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,50,242,185,274,217
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,50,173,104,209,140
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,50,364,22,394,50
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,50,438,64,464,90
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,50,483,132,509,164
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,50,532,122,554,150
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,50,524,254,548,286
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,50,554,378,574,406
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,50,486,298,510,326
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,50,498,360,526,392
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,50,446,342,472,376
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,50,462,413,488,447
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,50,470,485,496,515
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,50,386,536,414,566
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,50,370,366,400,400
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,50,382,290,408,322
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,50,432,274,462,304
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,50,325,242,355,274
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,20,259,96,285,128
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,20,335,82,365,112
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,20,432,131,456,159
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,20,376,148,402,178
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,20,315,168,345,200
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,20,392,221,418,247
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,20,500,200,520,228
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,20,546,188,564,210
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,20,536,320,556,344
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,20,516,429,540,459
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,20,322,318,350,352
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,20,296,404,326,436
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,20,246,343,282,379
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,20,172,398,214,438
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,20,162,488,204,530
IMG_2564_jpg.rf.eeb7add2d8ba73c54d2aa41d1516baff.jpg,680,680,100,233,522,275,572
z4517190691608_e13e5a7742dfd1e1497d7f34e43b9a19_jpg.rf.d64c893ba29e0046f722efb64320c314.jpg,680,680,20,160,221,192,254
z4517190691608_e13e5a7742dfd1e1497d7f34e43b9a19_jpg.rf.d64c893ba29e0046f722efb64320c314.jpg,680,680,20,279,302,311,337
z4517190691608_e13e5a7742dfd1e1497d7f34e43b9a19_jpg.rf.d64c893ba29e0046f722efb64320c314.jpg,680,680,20,301,391,328,421
