filename,width,height,class,xmin,ymin,xmax,ymax
IMG_20220316_160912_jpg.rf.ea6a6e58be49b50d61fc4ba22e507961.jpg,960,720,5 Diamonds,179,170,392,504
IMG_20220316_160912_jpg.rf.ea6a6e58be49b50d61fc4ba22e507961.jpg,960,720,6 Hearts,599,254,921,654
IMG_20220316_160912_jpg.rf.ea6a6e58be49b50d61fc4ba22e507961.jpg,960,720,7 Hearts,345,208,622,568
IMG_20220316_160912_jpg.rf.ea6a6e58be49b50d61fc4ba22e507961.jpg,960,720,8 Hearts,37,185,187,459
IMG_20220316_140618_jpg.rf.ed599c98611838f7b39a4b223bd29ea1.jpg,960,720,7 Spades,45,223,279,512
IMG_20220316_140618_jpg.rf.ed599c98611838f7b39a4b223bd29ea1.jpg,960,720,5 Hearts,245,210,457,480
IMG_20220316_140618_jpg.rf.ed599c98611838f7b39a4b223bd29ea1.jpg,960,720,6 Spades,427,192,647,467
IMG_20220316_140618_jpg.rf.ed599c98611838f7b39a4b223bd29ea1.jpg,960,720,8 Spades,662,193,850,450
IMG_20220316_171019_jpg.rf.ed3c121466ae2aa612fff522995e0e52.jpg,960,720,A Trefoils,327,284,623,631
IMG_20220316_171019_jpg.rf.ed3c121466ae2aa612fff522995e0e52.jpg,960,720,2 Spades,162,119,433,348
IMG_20220316_171019_jpg.rf.ed3c121466ae2aa612fff522995e0e52.jpg,960,720,3 Spades,441,62,767,362
IMG_20220316_171019_jpg.rf.ed3c121466ae2aa612fff522995e0e52.jpg,960,720,4 Spades,135,227,415,520
IMG_20220316_161307_jpg.rf.ec9c32e4801a42da64086d949cbe1f4b.jpg,960,720,9 Hearts,45,231,269,488
IMG_20220316_161307_jpg.rf.ec9c32e4801a42da64086d949cbe1f4b.jpg,960,720,10 Diamonds,263,76,477,306
IMG_20220316_161307_jpg.rf.ec9c32e4801a42da64086d949cbe1f4b.jpg,960,720,J Hearts,517,32,763,275
IMG_20220316_161307_jpg.rf.ec9c32e4801a42da64086d949cbe1f4b.jpg,960,720,Q Hearts,600,276,867,587
IMG_20220316_161307_jpg.rf.ec9c32e4801a42da64086d949cbe1f4b.jpg,960,720,K Hearts,307,321,539,620
IMG_20220316_141956_jpg.rf.e99b9d001049d79e023263132bdc3da5.jpg,960,720,9 Spades,656,191,857,447
IMG_20220316_141956_jpg.rf.e99b9d001049d79e023263132bdc3da5.jpg,960,720,10 Hearts,230,326,535,607
IMG_20220316_141956_jpg.rf.e99b9d001049d79e023263132bdc3da5.jpg,960,720,J Spades,459,154,672,432
IMG_20220316_141956_jpg.rf.e99b9d001049d79e023263132bdc3da5.jpg,960,720,Q Spades,208,55,460,349
IMG_20220316_141956_jpg.rf.e99b9d001049d79e023263132bdc3da5.jpg,960,720,K Spades,25,213,281,509
IMG_20220316_142145_jpg.rf.ebdadbbb4251553009918070de1d2f17.jpg,960,720,9 Spades,286,457,573,629
IMG_20220316_142145_jpg.rf.ebdadbbb4251553009918070de1d2f17.jpg,960,720,10 Hearts,475,9,817,377
IMG_20220316_142145_jpg.rf.ebdadbbb4251553009918070de1d2f17.jpg,960,720,J Spades,118,103,460,445
IMG_20220316_142145_jpg.rf.ebdadbbb4251553009918070de1d2f17.jpg,960,720,Q Spades,366,306,690,519
IMG_20220316_142145_jpg.rf.ebdadbbb4251553009918070de1d2f17.jpg,960,720,K Spades,82,377,293,586
IMG_20220316_141045_jpg.rf.ec775344694d4172a9f987a0e2194aae.jpg,960,720,6 Spades,125,298,354,585
IMG_20220316_141045_jpg.rf.ec775344694d4172a9f987a0e2194aae.jpg,960,720,5 Hearts,283,301,513,627
IMG_20220316_141045_jpg.rf.ec775344694d4172a9f987a0e2194aae.jpg,960,720,8 Spades,444,231,666,511
IMG_20220316_141045_jpg.rf.ec775344694d4172a9f987a0e2194aae.jpg,960,720,7 Spades,578,212,748,515
IMG_20220316_163448_jpg.rf.ea4e3d22decd5a5d8cc03b83d2bf8d08.jpg,960,720,A Diamonds,232,210,477,509
IMG_20220316_163448_jpg.rf.ea4e3d22decd5a5d8cc03b83d2bf8d08.jpg,960,720,10 Trefoils,459,191,702,492
IMG_20220316_163448_jpg.rf.ea4e3d22decd5a5d8cc03b83d2bf8d08.jpg,960,720,2 Trefoils,15,259,233,554
IMG_20220316_163448_jpg.rf.ea4e3d22decd5a5d8cc03b83d2bf8d08.jpg,960,720,3 Trefoils,693,198,909,480
IMG_20220316_163408_jpg.rf.ea48bfefa9f415dad24ff5a311395352.jpg,960,720,A Diamonds,537,192,688,469
IMG_20220316_163408_jpg.rf.ea48bfefa9f415dad24ff5a311395352.jpg,960,720,10 Trefoils,28,149,388,582
IMG_20220316_163408_jpg.rf.ea48bfefa9f415dad24ff5a311395352.jpg,960,720,2 Trefoils,666,246,774,484
IMG_20220316_163408_jpg.rf.ea48bfefa9f415dad24ff5a311395352.jpg,960,720,3 Trefoils,352,139,543,475
IMG_20220316_171323_jpg.rf.ecf0f678f1ac54979d4c0a8c46082eca.jpg,960,720,A Trefoils,495,229,695,477
IMG_20220316_171323_jpg.rf.ecf0f678f1ac54979d4c0a8c46082eca.jpg,960,720,2 Spades,727,222,924,477
IMG_20220316_171323_jpg.rf.ecf0f678f1ac54979d4c0a8c46082eca.jpg,960,720,3 Spades,62,248,300,534
IMG_20220316_171323_jpg.rf.ecf0f678f1ac54979d4c0a8c46082eca.jpg,960,720,4 Spades,293,226,498,469
IMG_20220316_172223_jpg.rf.ec4e0bba79e87c4a17abdd1db6f7e315.jpg,960,720,5 Spades,291,356,594,651
IMG_20220316_172223_jpg.rf.ec4e0bba79e87c4a17abdd1db6f7e315.jpg,960,720,6 Trefoils,275,80,568,396
IMG_20220316_172223_jpg.rf.ec4e0bba79e87c4a17abdd1db6f7e315.jpg,960,720,7 Trefoils,461,221,622,480
IMG_20220316_172223_jpg.rf.ec4e0bba79e87c4a17abdd1db6f7e315.jpg,960,720,8 Trefoils,118,159,362,471
IMG_20220316_135212_jpg.rf.ec62008bfe79df098d83397ecbb52a3a.jpg,960,720,A Spades,242,276,574,647
IMG_20220316_135212_jpg.rf.ec62008bfe79df098d83397ecbb52a3a.jpg,960,720,2 Hearts,659,126,890,439
IMG_20220316_135212_jpg.rf.ec62008bfe79df098d83397ecbb52a3a.jpg,960,720,3 Hearts,34,133,383,374
IMG_20220316_135212_jpg.rf.ec62008bfe79df098d83397ecbb52a3a.jpg,960,720,4 Hearts,428,115,638,407
IMG_20220316_161746_jpg.rf.edccbe542ab33387976dc37992a5b79c.jpg,960,720,9 Hearts,241,303,528,560
IMG_20220316_161746_jpg.rf.edccbe542ab33387976dc37992a5b79c.jpg,960,720,10 Diamonds,396,189,728,332
IMG_20220316_161746_jpg.rf.edccbe542ab33387976dc37992a5b79c.jpg,960,720,J Hearts,602,281,942,564
IMG_20220316_161746_jpg.rf.edccbe542ab33387976dc37992a5b79c.jpg,960,720,Q Hearts,23,290,327,535
IMG_20220316_161746_jpg.rf.edccbe542ab33387976dc37992a5b79c.jpg,960,720,K Hearts,416,332,700,584
IMG_20220316_172421_jpg.rf.ecda68393d321d716a730c6d0108a8db.jpg,960,720,9 Trefoils,185,216,333,467
IMG_20220316_172421_jpg.rf.ecda68393d321d716a730c6d0108a8db.jpg,960,720,10 Spades,302,127,474,396
IMG_20220316_172421_jpg.rf.ecda68393d321d716a730c6d0108a8db.jpg,960,720,J Trefoils,424,1,658,298
IMG_20220316_172421_jpg.rf.ecda68393d321d716a730c6d0108a8db.jpg,960,720,Q Trefoils,276,387,470,711
IMG_20220316_172421_jpg.rf.ecda68393d321d716a730c6d0108a8db.jpg,960,720,K Trefoils,415,275,687,633
IMG_20220316_135314_jpg.rf.e91c71b9ade164086a53d719a741926d.jpg,960,720,3 Hearts,365,357,725,644
IMG_20220316_135314_jpg.rf.e91c71b9ade164086a53d719a741926d.jpg,960,720,4 Hearts,130,242,383,592
IMG_20220316_135314_jpg.rf.e91c71b9ade164086a53d719a741926d.jpg,960,720,A Spades,287,2,601,370
IMG_20220316_135314_jpg.rf.e91c71b9ade164086a53d719a741926d.jpg,960,720,2 Hearts,350,136,734,369
IMG_20220316_135231_jpg.rf.ee5fb7905b89c17caadb7132d8bb79ac.jpg,960,720,A Spades,377,289,683,518
IMG_20220316_135231_jpg.rf.ee5fb7905b89c17caadb7132d8bb79ac.jpg,960,720,2 Hearts,265,58,598,320
IMG_20220316_135231_jpg.rf.ee5fb7905b89c17caadb7132d8bb79ac.jpg,960,720,3 Hearts,220,441,428,720
IMG_20220316_135231_jpg.rf.ee5fb7905b89c17caadb7132d8bb79ac.jpg,960,720,4 Hearts,412,418,769,667
IMG_20220316_173126_jpg.rf.ebd8e5fbeb97266baf2aa1f6c6f95ca1.jpg,960,720,9 Trefoils,1,79,404,451
IMG_20220316_173126_jpg.rf.ebd8e5fbeb97266baf2aa1f6c6f95ca1.jpg,960,720,10 Spades,372,460,716,707
IMG_20220316_173126_jpg.rf.ebd8e5fbeb97266baf2aa1f6c6f95ca1.jpg,960,720,J Trefoils,223,199,630,574
IMG_20220316_173126_jpg.rf.ebd8e5fbeb97266baf2aa1f6c6f95ca1.jpg,960,720,Q Trefoils,209,458,555,720
IMG_20220316_173126_jpg.rf.ebd8e5fbeb97266baf2aa1f6c6f95ca1.jpg,960,720,K Trefoils,520,188,859,489
IMG_20220316_165411_jpg.rf.ed758554c239393bf39e61bc5933f467.jpg,960,720,9 Diamonds,695,108,872,357
IMG_20220316_165411_jpg.rf.ed758554c239393bf39e61bc5933f467.jpg,960,720,59,73,154,301,437
IMG_20220316_165411_jpg.rf.ed758554c239393bf39e61bc5933f467.jpg,960,720,J Diamonds,494,100,708,374
IMG_20220316_165411_jpg.rf.ed758554c239393bf39e61bc5933f467.jpg,960,720,Q Diamonds,327,375,602,576
IMG_20220316_165411_jpg.rf.ed758554c239393bf39e61bc5933f467.jpg,960,720,K Diamonds,273,98,483,363
IMG_20220316_160908_jpg.rf.eb419cfa1b086fd5134e21fb9f311ac4.jpg,960,720,5 Diamonds,223,97,450,379
IMG_20220316_160908_jpg.rf.eb419cfa1b086fd5134e21fb9f311ac4.jpg,960,720,6 Hearts,670,121,909,382
IMG_20220316_160908_jpg.rf.eb419cfa1b086fd5134e21fb9f311ac4.jpg,960,720,7 Hearts,441,110,664,377
IMG_20220316_160908_jpg.rf.eb419cfa1b086fd5134e21fb9f311ac4.jpg,960,720,8 Hearts,14,120,233,370
IMG_20220316_161904_jpg.rf.e8be04e14cc4742df863ba216fa98db9.jpg,960,720,9 Hearts,120,73,458,322
IMG_20220316_161904_jpg.rf.e8be04e14cc4742df863ba216fa98db9.jpg,960,720,10 Diamonds,217,335,481,699
IMG_20220316_161904_jpg.rf.e8be04e14cc4742df863ba216fa98db9.jpg,960,720,J Hearts,379,228,570,541
IMG_20220316_161904_jpg.rf.e8be04e14cc4742df863ba216fa98db9.jpg,960,720,Q Hearts,437,57,633,264
IMG_20220316_161904_jpg.rf.e8be04e14cc4742df863ba216fa98db9.jpg,960,720,K Hearts,509,206,670,449
IMG_20220316_163008_jpg.rf.e900e5136eb3d7de42eff41881437b54.jpg,960,720,A Diamonds,47,232,368,548
IMG_20220316_163008_jpg.rf.e900e5136eb3d7de42eff41881437b54.jpg,960,720,10 Trefoils,186,472,530,645
IMG_20220316_163008_jpg.rf.e900e5136eb3d7de42eff41881437b54.jpg,960,720,2 Trefoils,217,152,600,479
IMG_20220316_163008_jpg.rf.e900e5136eb3d7de42eff41881437b54.jpg,960,720,3 Trefoils,510,182,851,536
IMG_20220316_172056_jpg.rf.edd867ac632d7311254a8416261927a9.jpg,960,720,5 Spades,178,407,514,708
IMG_20220316_172056_jpg.rf.edd867ac632d7311254a8416261927a9.jpg,960,720,6 Trefoils,412,442,856,682
IMG_20220316_172056_jpg.rf.edd867ac632d7311254a8416261927a9.jpg,960,720,7 Trefoils,174,268,445,494
IMG_20220316_172056_jpg.rf.edd867ac632d7311254a8416261927a9.jpg,960,720,8 Trefoils,437,203,855,498
IMG_20220316_140309_jpg.rf.e99096d63eef043b9488d93fc9fa0fdd.jpg,960,720,6 Spades,83,154,486,409
IMG_20220316_140309_jpg.rf.e99096d63eef043b9488d93fc9fa0fdd.jpg,960,720,7 Spades,342,229,765,436
IMG_20220316_140309_jpg.rf.e99096d63eef043b9488d93fc9fa0fdd.jpg,960,720,5 Hearts,492,367,844,602
IMG_20220316_140309_jpg.rf.e99096d63eef043b9488d93fc9fa0fdd.jpg,960,720,8 Spades,231,427,584,670
IMG_20220316_165737_jpg.rf.eb158a0c39eba709dbdfd5669ba4597f.jpg,960,720,9 Diamonds,136,252,423,611
IMG_20220316_165737_jpg.rf.eb158a0c39eba709dbdfd5669ba4597f.jpg,960,720,59,500,81,744,332
IMG_20220316_165737_jpg.rf.eb158a0c39eba709dbdfd5669ba4597f.jpg,960,720,J Diamonds,247,77,493,309
